Categoria,Item,Quantidade
Eletrônica,Potenciômetro linear,1
Eletrônica,Capacitores diversos,Diversos
Eletrônica,Resistores diversos,Diversos
Eletrônica,Raspberry Pi Pico,1
Eletrônica,Motor NEMA 17,1
Eletrônica,Placa PCB,1
Eletrônica,Cabos macho-fêmea,Conjunto
Eletrônica,Cabos macho-macho,Conjunto
Eletrônica,Cabos fêmea-fêmea,Conjunto
Eletrônica,Fonte de bancada,1
Eletrônica,Computador com Windows,1
Peças,Filamento 3D (1 kg amarelo),1 rolo
Peças,Filamento 3D (1 kg preto),1 rolo
Peças,MDF 1m² para corte a laser,1 m²
